,iso8601,datetime,low,high,open,close,volume,cma,ema12,ema26,sma20,sma50,sma200,rsi14,macd,signal
0,1568908800,2019-09-19 09:00:00,7921.99,8090.34,7922.0,8058.12,36.40185392,8058.12,8058.12,8058.12,8058.12,8058.12,8058.12,50.0,0.0,0.0
1,1568912400,2019-09-19 10:00:00,7996.25,8089.36,8046.5,8000.0,23.5647914,8029.0599999999995,8049.178461538462,8053.814814814814,8029.0599999999995,8029.0599999999995,8029.0599999999995,50.0,-4.636353276351656,-0.9272706552703313
2,1568916000,2019-09-19 11:00:00,7992.93,8040.39,8000.0,8020.0,23.29854074,8026.04,8044.689467455622,8051.31001371742,8026.04,8026.04,8026.04,50.0,-6.620546261797244,-2.065925776575714
3,1568919600,2019-09-19 12:00:00,8008.69,8091.73,8012.4,8090.96,15.17809514,8042.27,8051.808010923988,8054.247049738352,8042.27,8042.27,8042.27,50.0,-2.439038814363812,-2.140548384133334
4,1568923200,2019-09-19 13:00:00,8080.25,8297.99,8080.25,8190.93,79.96869308,8072.002,8073.211393858759,8064.371712720696,8072.002,8072.002,8072.002,50.0,8.839681138062588,0.055497520305850534
5,1568926800,2019-09-19 14:00:00,8188.02,8243.21,8189.93,8197.36,13.91762813,8092.895,8092.31117941895,8074.222696963608,8092.895,8092.895,8092.895,50.0,18.088482455342273,3.6620945073131352
6,1568930400,2019-09-19 15:00:00,8170.14,8219.76,8189.27,8174.48,13.67191027,8104.55,8104.9525364314195,8081.6491638551925,8104.55,8104.55,8104.55,50.0,23.303372576227048,7.590350121095918
7,1568934000,2019-09-19 16:00:00,8170.12,8214.42,8170.79,8204.55,14.13697024,8117.05,8120.275223134278,8090.752929495548,8117.05,8117.05,8117.05,50.0,29.522293638729934,11.976738824622721
8,1568937600,2019-09-19 17:00:00,8174.06,8230.0,8200.5,8182.25,4.11738304,8124.294444444444,8129.809804190543,8097.530490273655,8124.294444444444,8124.294444444444,8124.294444444444,50.0,32.279313916887986,16.037253843075774
9,1568941200,2019-09-19 18:00:00,8148.6,8199.55,8192.25,8149.62,1.49523903,8126.827,8132.857526622767,8101.388972475606,8126.827,8126.827,8126.827,50.0,31.46855414716083,19.123513903892785
10,1568944800,2019-09-19 19:00:00,8117.13,8182.84,8149.62,8141.56,4.80474937,8128.166363636364,8134.196368680803,8104.36460414408,8128.166363636364,8128.166363636364,8128.166363636364,50.0,29.831764536723313,21.26516403045889
11,1568948400,2019-09-19 20:00:00,8125.18,8173.46,8141.52,8157.54,7.61499599,8130.614166666666,8137.787696576064,8108.303522355629,8130.614166666666,8130.614166666666,8130.614166666666,50.0,29.484174220435307,22.908966068454177
12,1568952000,2019-09-19 21:00:00,8133.07,8162.64,8153.93,8134.44,2.22826353,8130.908461538462,8137.2726663335925,8110.239557736693,8130.908461538462,8130.908461538462,8130.908461538462,50.0,27.033108596899183,23.733794574143182
13,1568955600,2019-09-19 22:00:00,8092.68,8142.04,8138.27,8093.0,7.86716252,8128.200714285714,8130.461486897655,8108.962553459902,8128.200714285714,8128.200714285714,8128.200714285714,50.0,21.498933437753294,23.286822346865208
14,1568959200,2019-09-19 23:00:00,8080.14,8114.37,8091.8,8093.73,8.23859993,8125.902666666666,8124.8104889134,8107.834216166575,8125.902666666666,8125.902666666666,8125.902666666666,47.27852277901636,16.97627274682509,22.024712426857185
15,1568962800,2019-09-20 00:00:00,8080.02,8114.58,8090.36,8085.4,3.08043277,8123.37125,8118.747336772876,8106.172422376459,8123.37125,8123.37125,8123.37125,45.690042307913444,12.574914396417626,20.134752820769275
16,1568966400,2019-09-20 01:00:00,8077.33,8114.43,8085.4,8095.02,12.47411993,8121.703529411764,8115.096977269357,8105.346317015239,8121.703529411764,8121.703529411764,8121.703529411764,47.86842212908716,9.750660254117975,18.057934307439016
17,1568970000,2019-09-20 02:00:00,8075.12,8114.92,8085.02,8109.67,19.1542476,8121.035,8114.262057689456,8105.666589828926,8121.035,8121.035,8121.035,51.08603816223695,8.595467860530334,16.16544101805728
18,1568973600,2019-09-20 03:00:00,8110.7,8142.54,8113.51,8121.99,24.82608146,8121.085263157895,8115.450971891078,8106.875731323079,8121.085263157895,8121.085263157895,8121.085263157895,53.67545674230777,8.575240567998662,14.647400928045556
19,1568977200,2019-09-20 04:00:00,8107.19,8149.87,8119.47,8138.27,30.01730429,8121.9445000000005,8118.961591600142,8109.201232706555,8121.9445000000005,8121.9445000000005,8121.9445000000005,56.920833263645065,9.760358893587181,13.669992521153883
20,1568980800,2019-09-20 05:00:00,8138.86,8199.93,8138.86,8181.21,13.56231984,8124.766666666667,8128.538269815505,8114.535215469033,8128.099,8124.766666666667,8124.766666666667,64.07065984646528,14.003054346472709,13.736604886217648
21,1568984400,2019-09-20 06:00:00,8150.14,8191.5,8185.55,8156.59,15.82339197,8126.2131818181815,8132.853920613121,8117.650384693548,8135.9285,8126.2131818181815,8126.2131818181815,58.11503404996249,15.20353591957246,14.029991092888611
22,1568988000,2019-09-20 07:00:00,8127.65,8161.64,8159.09,8144.0,17.90481815,8126.986521739131,8134.568702057256,8119.602208049581,8142.128500000001,8126.986521739131,8126.986521739131,55.28496141889314,14.966494007674555,14.2172916758458
23,1568991600,2019-09-20 08:00:00,8111.01,8164.66,8142.09,8154.26,10.82919156,8128.122916666667,8137.598132509986,8122.169451897761,8145.293500000002,8128.122916666667,8128.122916666667,57.11767145752545,15.428680612224525,14.459569463121545
24,1568995200,2019-09-20 09:00:00,8100.0,8156.12,8153.3,8101.75,12.22364861,8127.068,8132.083035200757,8120.656899905334,8140.8345,8127.068,8127.068,46.59237497206654,11.426135295422682,13.852882629581774
25,1568998800,2019-09-20 10:00:00,8065.37,8148.89,8100.89,8103.66,15.70869256,8126.167692307692,8127.710260554487,8119.397870282717,8136.1494999999995,8126.167692307692,8126.167692307692,46.975128761520075,8.3123902717698,12.74478415801938
26,1569002400,2019-09-20 11:00:00,8093.11,8148.71,8099.5,8146.16,21.54945857,8126.908148148148,8130.548682007642,8121.380250261775,8134.733499999999,8126.908148148148,8126.908148148148,54.7466679563243,9.168431745867565,12.029513675589017
27,1569006000,2019-09-20 12:00:00,8134.66,8164.78,8139.62,8144.57,7.99569075,8127.538928571428,8132.705807852621,8123.098009501643,8131.7345000000005,8127.538928571428,8127.538928571428,54.42528634830546,9.607798350977646,11.545170610666744
28,1569009600,2019-09-20 13:00:00,8115.46,8151.64,8143.17,8129.98,5.99930372,8127.623103448276,8132.286452798371,8123.607786575595,8129.121000000001,8127.623103448276,8127.623103448276,51.44116178874837,8.678666222775973,10.97186973308859
